Code,name,class,beta,ratio
30720,동원수산,어업,0.56,0.6527 
7160,사조산업,어업,0.56,0.6527 
6040,동원산업,어업,0.56,0.6527 
4970,신라교역,어업,0.56,0.6527 
3580,넥스트사이언스,광업,1,0.5462 
280360,롯데제과,음식료품,0.63,0.3061 
271560,오리온,음식료품,0.63,0.3061 
6090,사조오양,음식료품,0.63,0.3061 
26490K,크라운제과우,음식료품,0.63,0.3061 
264900,크라운제과,음식료품,0.63,0.3061 
248170,샘표식품,음식료품,0.63,0.3061 
101530,해태제과식품,음식료품,0.63,0.3061 
14710,사조씨푸드,음식료품,0.63,0.3061 
145995,삼양사우,음식료품,0.63,0.3061 
145990,삼양사,음식료품,0.63,0.3061 
87,하이트진로2우B,음식료품,0.63,0.3061 
136490,선진,음식료품,0.63,0.3061 
33920,무학,음식료품,0.63,0.3061 
1799,대한제당3우B,음식료품,0.63,0.3061 
80,하이트진로,음식료품,0.63,0.3061 
11155,CJ씨푸드1우,음식료품,0.63,0.3061 
11150,CJ씨푸드,음식료품,0.63,0.3061 
97955,CJ제일제당 우,음식료품,0.63,0.3061 
97950,CJ제일제당,음식료품,0.63,0.3061 
79660,사조해표,음식료품,0.63,0.3061 
27740,마니커,음식료품,0.63,0.3061 
2600,조흥,음식료품,0.63,0.3061 
49770,동원F&B,음식료품,0.63,0.3061 
36580,팜스코,음식료품,0.63,0.3061 
23150,MH에탄올,음식료품,0.63,0.3061 
8040,사조동아원,음식료품,0.63,0.3061 
7310,오뚜기,음식료품,0.63,0.3061 
6980,우성사료,음식료품,0.63,0.3061 
5610,SPC삼립,음식료품,0.63,0.3061 
5305,롯데칠성우,음식료품,0.63,0.3061 
5300,롯데칠성,음식료품,0.63,0.3061 
5180,빙그레,음식료품,0.63,0.3061 
4415,서울식품우,음식료품,0.63,0.3061 
4410,서울식품,음식료품,0.63,0.3061 
4370,농심,음식료품,0.63,0.3061 
3960,사조대림,음식료품,0.63,0.3061 
3925,남양유업우,음식료품,0.63,0.3061 
3920,남양유업,음식료품,0.63,0.3061 
3680,한성기업,음식료품,0.63,0.3061 
3230,삼양식품,음식료품,0.63,0.3061 
2270,롯데푸드,음식료품,0.63,0.3061 
2140,고려산업,음식료품,0.63,0.3061 
1795,대한제당우,음식료품,0.63,0.3061 
1790,대한제당,음식료품,0.63,0.3061 
1685,대상우,음식료품,0.63,0.3061 
1680,대상,음식료품,0.63,0.3061 
1130,대한제분,음식료품,0.63,0.3061 
890,보해양조,음식료품,0.63,0.3061 
111110,호전실업,섬유의복,0.89,0.1209 
93240,형지엘리트,섬유의복,0.89,0.1209 
105630,한세실업,섬유의복,0.89,0.1209 
102280,쌍방울,섬유의복,0.89,0.1209 
90370,메타랩스,섬유의복,0.89,0.1209 
93050,LF,섬유의복,0.89,0.1209 
84870,TBH글로벌,섬유의복,0.89,0.1209 
7980,태평양물산,섬유의복,0.89,0.1209 
7700,F&F,섬유의복,0.89,0.1209 
20000,한섬,섬유의복,0.89,0.1209 
16090,대현,섬유의복,0.89,0.1209 
14990,인디에프,섬유의복,0.89,0.1209 
11300,성안,섬유의복,0.89,0.1209 
9275,신원우,섬유의복,0.89,0.1209 
9270,신원,섬유의복,0.89,0.1209 
8500,일정실업,섬유의복,0.89,0.1209 
5820,원림,섬유의복,0.89,0.1209 
5800,신영와코루,섬유의복,0.89,0.1209 
3610,방림,섬유의복,0.89,0.1209 
3200,일신방직,섬유의복,0.89,0.1209 
2070,남영비비안,섬유의복,0.89,0.1209 
1530,동일방직,섬유의복,0.89,0.1209 
1465,BYC우,섬유의복,0.89,0.1209 
1460,BYC,섬유의복,0.89,0.1209 
1070,대한방직,섬유의복,0.89,0.1209 
950,전방,섬유의복,0.89,0.1209 
50,경방,섬유의복,0.89,0.1209 
213500,한솔제지,종이목재,0.71,0.6155 
109070,컨버즈,종이목재,0.71,0.6155 
9770,삼정펄프,종이목재,0.71,0.6155 
25750,한솔홈데코,종이목재,0.71,0.6155 
27970,세하,종이목재,0.71,0.6155 
16590,신대양제지,종이목재,0.71,0.6155 
14160,대영포장,종이목재,0.71,0.6155 
12690,모나리자,종이목재,0.71,0.6155 
11280,태림포장,종이목재,0.71,0.6155 
9580,무림P&P,종이목재,0.71,0.6155 
9460,한창제지,종이목재,0.71,0.6155 
9200,무림페이퍼,종이목재,0.71,0.6155 
8250,이건산업,종이목재,0.71,0.6155 
6740,영풍제지,종이목재,0.71,0.6155 
4545,깨끗한나라우,종이목재,0.71,0.6155 
4540,깨끗한나라,종이목재,0.71,0.6155 
2870,신풍제지,종이목재,0.71,0.6155 
2820,선창산업,종이목재,0.71,0.6155 
2310,아세아제지,종이목재,0.71,0.6155 
2300,한국제지,종이목재,0.71,0.6155 
2200,수출포장,종이목재,0.71,0.6155 
1020,페이퍼코리아,종이목재,0.71,0.6155 
298050,효성첨단소재,화학,0.9,0.3500 
298020,효성티앤씨,화학,0.9,0.3500 
298000,효성화학,화학,0.9,0.3500 
226320,잇츠한불,화학,0.9,0.3500 
18250,애경산업,화학,0.9,0.3500 
28513K,SK케미칼우,화학,0.9,0.3500 
285130,SK케미칼,화학,0.9,0.3500 
282690,동아타이어,화학,0.9,0.3500 
272550,삼양패키징,화학,0.9,0.3500 
55490,테이팩스,화학,0.9,0.3500 
268280,미원에스씨,화학,0.9,0.3500 
25620,제이준코스메틱,화학,0.9,0.3500 
00088K,한화3우B,화학,0.9,0.3500 
214420,토니모리,화학,0.9,0.3500 
192820,코스맥스,화학,0.9,0.3500 
14825,동원시스템즈우,화학,0.9,0.3500 
14820,동원시스템즈,화학,0.9,0.3500 
163560,동일고무벨트,화학,0.9,0.3500 
161890,한국콜마,화학,0.9,0.3500 
161390,한국타이어,화학,0.9,0.3500 
161000,애경유화,화학,0.9,0.3500 
144620,코오롱머티리얼,화학,0.9,0.3500 
79980,휴비스,화학,0.9,0.3500 
78520,에이블씨엔씨,화학,0.9,0.3500 
