item_code,item_name,item_all_cost,item_stock_count
5930,삼성전자,2.79684E+14,5969782550
660,SK하이닉스,5.75122E+13,728002365
5935,삼성전자우,3.1064E+13,822886700
5380,현대차,2.69222E+13,213668187
51910,LG화학,2.66486E+13,70592343
68270,셀트리온,2.40886E+13,125461438
5490,POSCO,2.39764E+13,87186835
207940,삼성바이오로직스,2.27608E+13,66165000
12330,현대모비스,2.19024E+13,97343863
51900,LG생활건강,2.18186E+13,15618197
55550,신한지주,2.16235E+13,474199587
28260,삼성물산,2.10556E+13,189690043
35420,NAVER,2.0272E+13,164813395
17670,SK텔레콤,1.99038E+13,80745711
34730,SK,1.93843E+13,70360297
105560,KB금융,1.89405E+13,418111537
15760,한국전력,1.87454E+13,641964077
18260,삼성에스디에스,1.79903E+13,77377800
96770,SK이노베이션,1.71061E+13,92465564
32830,삼성생명,1.696E+13,200000000
270,기아차,1.52822E+13,405363347
6400,삼성SDI,1.49907E+13,68764530
33780,KT&G,1.42784E+13,137292497
810,삼성화재,1.38808E+13,47374837
3550,LG,1.33559E+13,172557131
66570,LG전자,1.24045E+13,163647814
86790,하나금융지주,1.18596E+13,300242062
90430,아모레퍼시픽,1.15748E+13,58458490
36570,엔씨소프트,1.10353E+13,21939022
251270,넷마블,1.05731E+13,85266590
10950,S-Oil,1.04477E+13,112582792
11170,롯데케미칼,1.03683E+13,34275419
316140,우리금융지주,9.79437E+12,680164306
91990,셀트리온헬스케어,9.54175E+12,140526549
10130,고려아연,9.18026E+12,18870000
9540,현대중공업,8.70509E+12,70773116
35720,카카오,8.54725E+12,83387773
9150,삼성전기,8.40304E+12,74693696
24110,기업은행,8.39419E+12,574944394
34220,LG디스플레이,7.29944E+12,357815700
30200,KT,7.20669E+12,261111808
21240,웅진코웨이,6.98144E+12,73799619
35250,강원랜드,6.78191E+12,213940500
18880,한온시스템,6.51236E+12,533800000
32640,LG유플러스,6.39636E+12,436611361
4020,현대제철,6.36536E+12,133445785
720,현대건설,6.11343E+12,111355765
2790,아모레G,5.85453E+12,82458180
